timestamp_utc,open,high,low,close,base_volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2025-09-09T05:14:00+00:00,12.6364,12.77,12.5523,12.5986,203374.0,2575599.6058,11504,119872.0,1520540.4811
2025-09-09T05:15:00+00:00,12.5999,12.6337,12.4036,12.4242,172205.0,2151067.3848,12693,76842.0,959858.5897
2025-09-09T05:16:00+00:00,12.4291,12.4933,12.3265,12.3909,209884.0,2600605.3174,11581,100684.0,1247827.2192
2025-09-09T05:17:00+00:00,12.3901,12.4951,12.3403,12.351,152419.0,1891158.5601,10362,88646.0,1100001.8145
2025-09-09T05:18:00+00:00,12.3535,12.3889,12.2881,12.3007,155615.0,1921146.4291,10275,68719.0,849019.1645
2025-09-09T05:19:00+00:00,12.3008,12.3882,12.2901,12.3736,124046.0,1530228.0584,8520,64884.0,800895.1859
2025-09-09T05:20:00+00:00,12.3736,12.3961,12.1909,12.2797,217868.0,2671516.3014,13658,88816.0,1089027.2747
2025-09-09T05:21:00+00:00,12.2776,12.4792,12.2737,12.4147,189065.0,2347061.5548,12924,98674.0,1224788.8161
2025-09-09T05:22:00+00:00,12.412,12.4891,12.2408,12.2487,183300.0,2259035.8861,11354,98975.0,1219367.0243
2025-09-09T05:23:00+00:00,12.25,12.2659,12.1802,12.2316,184329.0,2252099.5417,10814,92088.0,1125210.0689
2025-09-09T05:24:00+00:00,12.2365,12.2942,12.1274,12.2765,153623.0,1876878.8454,11388,80764.0,987291.3179
2025-09-09T05:25:00+00:00,12.2779,12.4411,12.2714,12.4215,148879.0,1840640.8443,11043,86397.0,1068436.7867
2025-09-09T05:26:00+00:00,12.422,12.4263,12.3501,12.3874,98143.0,1216123.8699,6981,45996.0,569962.7713
2025-09-09T05:27:00+00:00,12.3874,12.7294,12.3872,12.631,305162.0,3833376.0958,20173,194062.0,2438109.5701
2025-09-09T05:28:00+00:00,12.6311,12.6461,12.5,12.5596,129651.0,1629066.7046,9487,60601.0,761689.4995
2025-09-09T05:29:00+00:00,12.56,12.59,12.5154,12.5589,72622.0,911531.5642,5532,34757.0,436345.5658
2025-09-09T05:30:00+00:00,12.5586,12.5745,12.3801,12.5258,106518.0,1328448.4605,8892,49909.0,622616.9475
2025-09-09T05:31:00+00:00,12.5248,12.5352,12.404,12.4143,84339.0,1049926.4625,7141,37896.0,471921.8809
2025-09-09T05:32:00+00:00,12.4173,12.4216,12.3101,12.3923,133570.0,1651369.5219,9817,71263.0,881249.0445
2025-09-09T05:33:00+00:00,12.3925,12.7162,12.3637,12.6795,211317.0,2655766.4888,15625,129684.0,1629882.322
2025-09-09T05:34:00+00:00,12.6791,12.8094,12.6518,12.7256,209919.0,2672257.8038,14208,114534.0,1458986.8222
2025-09-09T05:35:00+00:00,12.7256,12.7701,12.6216,12.6449,125994.0,1600920.8746,9361,53292.0,677600.6601
2025-09-09T05:36:00+00:00,12.645,12.73,12.5724,12.6985,111197.0,1405184.3938,8065,55069.0,696156.826
