event_type,block_number,block_timestamp_utc,tx_hash,log_index,reserve_or_debt_asset,collateral_asset,user,on_behalf_of_or_repayer,liquidator,amount_crv,collateral_amount_usdc,borrow_rate_mode,receive_a_token
LiquidationCall,16027135,2022-11-22T17:49:11Z,0x6b56d0e5b022f8ac0bb8ce8603b8419a2ff259c5a69e3f5f69df1f4618aec2c0,37,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x7719494eb8f3ca261f5c806d754853dc5ce2edf7,56938.723934882513726985,41923.192469,,false
LiquidationCall,16027135,2022-11-22T17:49:11Z,0xebc1e54bb591e23b868696ba8f62b61c852a872de33543f531e748515fab3dd2,128,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x8bc110db7029197c3621bea8092ab1996d5dd7be,1000000,736286.126071,,false
LiquidationCall,16027136,2022-11-22T17:49:23Z,0x86c1d2db756c68fc405c3f5f7fa7245e00f5eeae4fa9c9f55347d74f74616913,22,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,232607.211621820304384983,171265.462741,,false
LiquidationCall,16027137,2022-11-22T17:49:35Z,0x5cb069891a4d7b11ba6ae1322cc691fa19fb2b6cda0a19fa70b93211d3cb3d7f,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,244321.684922588028433506,179890.666906,,false
LiquidationCall,16027138,2022-11-22T17:49:47Z,0x043d44691910ac80711419ec680c395736c6fd7c934c270b2db9526ba7751a40,18,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,58985.544412361766985416,43430.237989,,false
LiquidationCall,16027138,2022-11-22T17:49:47Z,0xce720f78a976858e636fc438d2eb062626a0b65c87fec943fac9b59229d1f49d,35,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x1df8ea15bb725e110118f031e8e71b91abaa2a06,28550,21020.968899,,false
LiquidationCall,16027139,2022-11-22T17:49:59Z,0xbb6546d4dcf8602a49b74be61b7ed738087c9c9156c8ec4eea8b8c11490ec1e2,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,132223.529041838448892933,97354.349973,,false
LiquidationCall,16027140,2022-11-22T17:50:11Z,0xc31b41bb1d87af4c6ae38fe0e4a74a857b7732e688aa8b8d3139001739e85840,16,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,150133.776947452210165273,110541.417021,,false
LiquidationCall,16027141,2022-11-22T17:50:23Z,0x3c413a685984b776d0f8f110b7773ec72527d2bc9e0a0099ca31469c1f86cdd7,392,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0xc37704a457b1ee87eb657cae584a34961e86acac,500000,368143.063035,,false
LiquidationCall,16027142,2022-11-22T17:50:35Z,0xa00f492f313a844ce52ca021bb11a03a354f7fb8680e7216e9d18da90a14a806,19,0xD533a949740bb3306d119CC777fa900bA034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x57e04786e231af3343562c062e0d058f25dace9e,,0x80d4230c0a68fc59cb264329d3a717fcaa472a13,116954.675534923052962736,86112.104975,,false
