datetime,block,tx_hash,crv_out,crv_out_raw,usdc_in,usdc_in_raw,effective_usdc_per_crv
2022-11-14T13:38:23.000Z,15968621,0xd1a87069de70d48f3bb3bd903ab5bea4d9d5b5ab46bfda00badf71d150ee90d8,200000,200000000000000000000000,122958.122335,122958122335,0.614791
2022-11-15T21:14:35.000Z,15978045,0x0dfd4b28bcb0b0293ace32168091cb0039cbc9cc1886d162aafb9d4bfddf8dc3,300000,300000000000000000000000,182996.440798,182996440798,0.609988
2022-11-15T21:17:47.000Z,15978061,0x6367ef30aa6f7bb1a5f8db808ff0988728f39699ab29294fea166a233b99dc35,500000,500000000000000000000000,304429.903867,304429903867,0.608860
2022-11-15T21:23:47.000Z,15978091,0x11946c31dc7b49ef9bd2b59432612e16e19f4880ec080c719f464a8488d6039a,150000,150000000000000000000000,91041.325638,91041325638,0.606942
2022-11-15T21:37:23.000Z,15978158,0xcafaca6a25c81b23189d0c9e7ae3fadf1dc903f74b749d18ed0d823391d4d570,200000,200000000000000000000000,120782.003374,120782003374,0.603910
2022-11-15T21:46:11.000Z,15978202,0xa9bb7e810b78b88d2f12bae2e825d827027eea33bfbcec900604800249c28b06,100000,100000000000000000000000,60120.999124,60120999124,0.601210
2022-11-15T22:01:11.000Z,15978277,0xea15ffbdc33996fc75f40e8c0e0cca40d00f36be1e63e164a53e013cd2c11b7e,200000,200000000000000000000000,120659.361305,120659361305,0.603297
2022-11-15T22:16:47.000Z,15978354,0x2497ad7a5a3e5ebc437d845e0f753560ce754690577ebfd02350bebab4ae0f4e,100000,100000000000000000000000,60164.129673,60164129673,0.601641
2022-11-17T00:33:11.000Z,15986184,0xb7b4828ee96fd8919a485c35e7333427ddb83525296a33e8d73395ae884dd17c,200000,200000000000000000000000,116843.727612,116843727612,0.584219
2022-11-22T10:20:23.000Z,16024914,0x19800de00b7d7c12edc270dc698fbadf72f34e360a21eaaf72c7bada92fd4c0a,300000,300000000000000000000000,123538.625235,123538625235,0.411795
2022-11-22T10:35:23.000Z,16024989,0x0bc46c878e01a48d15d31437630644f4e0ff7d12ce87e045d2e742836c7badb0,500000,500000000000000000000000,203738.178823,203738178823,0.407476
2022-11-22T10:36:11.000Z,16024993,0x65d27b9adcfccecaa6ecc5a26adc7ba76930e65e02b4d8242fa62d5cf2a20d65,500000,500000000000000000000000,203119.603085,203119603085,0.406239
2022-11-22T10:36:35.000Z,16024995,0x07f72d0ba08da26168f4241ff83e70c9f1adb4e2b0e0c3b1c7c5a2f84d6d2e1e,500000,500000000000000000000000,202733.735419,202733735419,0.405467
2022-11-22T10:42:23.000Z,16025024,0x13b60e69c1c4b58763cf50655d7764ba6cf673aa3cd10203f0be19bfac0e7f6a,1000000,1000000000000000000000000,406093.276975,406093276975,0.406093
2022-11-22T10:45:47.000Z,16025041,0x3a5ebb5b76fcb6e0fbafa53ab1b8e6d62ee73dff90dba7b8d0a7b7caac57ecb3,1000000,1000000000000000000000000,405627.41212,405627412120,0.405627
2022-11-22T10:47:23.000Z,16025049,0x07197f2091b2015a796cdf96df9f616dcf25e83ebe3b212aeb557de8d552fa64,1000000,1000000000000000000000000,406245.976132,406245976132,0.406246
2022-11-22T10:57:47.000Z,16025101,0xdc9d9619c6e1d7544471a38df60191b27794618073b4dbf2205fe0040df6b5cd,200000,200000000000000000000000,83177.643896,83177643896,0.415888
2022-11-22T10:57:59.000Z,16025102,0x008b745ea488d78061c5533932c218940dd7707dc63949bb1b29602cd4554a94,40618.742381,40618742381642512077294,16816.159346,16816159346,0.414000
2022-11-22T10:58:11.000Z,16025103,0x8fac1ba7b4eabbab743dd2b4a616e619230c206a8dd557c6db51b2ac4de5d601,78791.134806,78791134806763285024154,32619.52981,32619529810,0.414000
2022-11-22T10:58:47.000Z,16025106,0x7632b56a3502f5c3453af49db071c317c53856e78adb1ff67e61e647be079c7e,43217.782388,43217782388888888888888,17892.161909,17892161909,0.414000
2022-11-22T10:59:23.000Z,16025109,0x633321858485bbe302d164956c094879df82cedfb820ea164f7b5e08f85271d8,348029.464521,348029464521739130434782,144084.198312,144084198312,0.414000
2022-11-22T10:59:35.000Z,16025110,0x08dd6de20e776a4b1506730090225ec0c8966723c4447a15473e3856876bbced,173520.950272,173520950272946859903381,71837.673413,71837673413,0.414000
2022-11-22T10:59:35.000Z,16025110,0x6d1da743bba64209a127f61428d18cb2594cad21d744f5c0b0849ed0ee3854b0,67616.78091,67616780910628019323671,27993.347297,27993347297,0.414000
2022-11-22T11:00:11.000Z,16025113,0x1ed5c130db1799c09451f6a9cd775084706b624138db6d3f430d16cf828bf21b,36855.550103,36855550103864734299516,15258.197743,15258197743,0.414000
2022-11-22T11:01:59.000Z,16025122,0x0c8eeb0a883ac65dbe4e7d02862549563f8d91782f7fba5a30cb499b5d3c7d4c,210896.975623,210896975623188405797101,87311.347908,87311347908,0.414000
2022-11-22T11:02:23.000Z,16025124,0x62651485683909be79de6d342b1c0f75fee8878f80e1d520cedb3d8b6b36e53b,127353.835862,127353835862650602409638,52851.841883,52851841883,0.415000
2022-11-22T11:02:35.000Z,16025125,0x98421da94950c91cd423f680a722940fb9a8fa439eb8eae0057a643b6a668842,84591.830077,84591830077108433734939,35105.609482,35105609482,0.415000
