datetime,block,tx_hash,tx_index,log_index,token,direction,counterparty,amount,amount_raw
2022-11-14T07:01:35.000Z,15966649,0x566e2ffadb29665b7f62c89df21359b38d3bfefd5a9f907c71930e07d94292b9,95,188,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,4000,4000000000
2022-11-14T07:01:35.000Z,15966649,0x566e2ffadb29665b7f62c89df21359b38d3bfefd5a9f907c71930e07d94292b9,95,189,CRV,from_user,0x1111111254fb6c44bac0bed2854e76f90643097d,6611.570247,6611570247933884297520
2022-11-14T07:01:35.000Z,15966649,0x69b6ed9c36001448d267790ccac5e43b12e32ae43adf8121447245e0cbc7f259,136,289,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,9983.250566,9983250566
2022-11-14T07:01:35.000Z,15966649,0x69b6ed9c36001448d267790ccac5e43b12e32ae43adf8121447245e0cbc7f259,136,290,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,16501.240604,16501240604958677685950
2022-11-14T07:01:47.000Z,15966650,0xf8eeb8cf720132e5a62b4616ee78c988e38df771a1e672b96a5102ba6555b2aa,36,28,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,50532.086406,50532086406
2022-11-14T07:01:47.000Z,15966650,0xf8eeb8cf720132e5a62b4616ee78c988e38df771a1e672b96a5102ba6555b2aa,36,29,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,83524.109761,83524109761983471074380
2022-11-14T07:02:35.000Z,15966654,0xa33face64c12c7afd884e511132747add6572d7afa4653845c9862132dcbd348,73,134,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,20000,20000000000
2022-11-14T07:02:35.000Z,15966654,0xa33face64c12c7afd884e511132747add6572d7afa4653845c9862132dcbd348,73,135,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,33057.851239,33057851239669421487603
2022-11-14T07:02:59.000Z,15966656,0xbe7607ab086ca8b54f2792865ec68b65cdee761086f56a09179849a0e8f9d681,74,63,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,15000,15000000000
2022-11-14T07:02:59.000Z,15966656,0xbe7607ab086ca8b54f2792865ec68b65cdee761086f56a09179849a0e8f9d681,74,64,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,24793.388429,24793388429752066115702
2022-11-14T07:05:23.000Z,15966668,0x537a301a55b47f58c16be06cc13d9fab1dac1fc42d5de38f8ff1bbffdec45307,125,274,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,14975.505967,14975505967
2022-11-14T07:05:23.000Z,15966668,0x537a301a55b47f58c16be06cc13d9fab1dac1fc42d5de38f8ff1bbffdec45307,125,275,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,24752.902424,24752902424793388429752
2022-11-14T07:16:23.000Z,15966723,0x83d9a8ea68fe47eaeabc1de466c4419072c0c36c8c91c25ec23f4aa6c164aa12,9,67,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,19965.803916,19965803916
2022-11-14T07:16:23.000Z,15966723,0x83d9a8ea68fe47eaeabc1de466c4419072c0c36c8c91c25ec23f4aa6c164aa12,9,68,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,33001.328786,33001328786776859504132
2022-11-14T07:25:59.000Z,15966771,0xec4298b5ec49903811b95e6c6f08e3e1454a5de2e6517bb6e92152708efef7b7,101,135,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,9984.684202,9984684202
2022-11-14T07:25:59.000Z,15966771,0xec4298b5ec49903811b95e6c6f08e3e1454a5de2e6517bb6e92152708efef7b7,101,136,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,16503.610251,16503610251239669421487
2022-11-14T07:25:59.000Z,15966771,0xd3f77452bf218065b23851c4644475d1f76209bcd320b728de59a6c27bd84a0b,148,291,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,21593.652968,21593652968
2022-11-14T07:25:59.000Z,15966771,0xd3f77452bf218065b23851c4644475d1f76209bcd320b728de59a6c27bd84a0b,148,292,CRV,from_user,0xc563c201fd129d0851ad03759f260c210c02780b,35691.988376,35691988376859504132231
2022-11-14T07:26:35.000Z,15966774,0xd19a3c6949df18d1bca3b51cf8474c59e6199eefb897e99b4ea9c4e5f31b0698,187,401,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,32018.681261,32018681261
2022-11-14T07:26:35.000Z,15966774,0xd19a3c6949df18d1bca3b51cf8474c59e6199eefb897e99b4ea9c4e5f31b0698,187,402,CRV,from_user,0xc563c201fd129d0851ad03759f260c210c02780b,52923.4401,52923440100826446280991
2022-11-14T07:26:47.000Z,15966775,0x0a8b2c144c9903e59de6d067ed4d889a8baa911e5748c1a14b229b76e931f0ac,10,96,USDC,to_user,0xf021f084477242fe6835c67234b4345de4db19e1,9974.664413,9974664413
2022-11-14T07:26:47.000Z,15966775,0x0a8b2c144c9903e59de6d067ed4d889a8baa911e5748c1a14b229b76e931f0ac,10,97,CRV,from_user,0xf021f084477242fe6835c67234b4345de4db19e1,16487.048616,16487048616528925619834
2022-11-14T07:26:47.000Z,15966775,0xce2f0ef0a2ce3159936963506b6c71fb2b8bfa892cb0266eaf89d9feadf26a73,17,187,USDC,to_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,19974.294009,19974294009
2022-11-14T07:26:47.000Z,15966775,0xce2f0ef0a2ce3159936963506b6c71fb2b8bfa892cb0266eaf89d9feadf26a73,17,188,CRV,from_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,33015.361998,33015361998347107438016
2022-11-14T07:26:59.000Z,15966776,0xdb7d18e5ae4b80ca5066e14cd6fab1813900ba1c4a058241a3af5412b5f550ab,0,2,USDC,to_user,0x6c6b87d44d239b3750bf9badce26a9a0a3d2364e,24926.224481,24926224481
2022-11-14T07:26:59.000Z,15966776,0xdb7d18e5ae4b80ca5066e14cd6fab1813900ba1c4a058241a3af5412b5f550ab,0,3,CRV,from_user,0x6c6b87d44d239b3750bf9badce26a9a0a3d2364e,41200.371042,41200371042975206611570
2022-11-14T07:27:35.000Z,15966779,0x5bff63f514ace559be160d2153a75f883324bdae261e516416d8fc31feb661b8,17,153,USDC,to_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,110939.801772,110939801772
2022-11-14T07:27:35.000Z,15966779,0x5bff63f514ace559be160d2153a75f883324bdae261e516416d8fc31feb661b8,17,154,CRV,from_user,0x53222470cdcfb8081c0e3a50fd106f0d69e63f20,183371.573176,183371573176859504132231
2022-11-14T07:29:11.000Z,15966787,0x90352384c25d32cc54a432a9e486b5c01e3be135dedcc2bf3e3b64419b9f8f80,80,127,USDC,to_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,20960.43014,20960430140
2022-11-14T07:29:11.000Z,15966787,0x90352384c25d32cc54a432a9e486b5c01e3be135dedcc2bf3e3b64419b9f8f80,80,128,CRV,from_user,0x3b17056cc4439c61cea41fe1c9f517af75a978f7,34645.339074,34645339074380165289256
2022-11-14T07:29:23.000Z,15966788,0x31d89dfab685bd5a0c3c4503dd92c0d415b28d12477c8af07cc82f0e570f82cf,7,19,USDC,to_user,0xc563c201fd129d0851ad03759f260c210c02780b,26151.426397,26151426397
